TYPE,COMMUNE,STREET_NAME,STREET_END,SPEED_KMH,ALERT_TYPE
alert,Conchalí,Av. Los Zapadores,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,,Av. Independencia,,,ROAD_CLOSED
alert,,Acceso Autopista Los Libertadores > Los Andes / Colina,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Fermín Vivaceta,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,HAZARD
jam,La Pintana,Av. John Kennedy,Julio Barrenechea,15.76,
jam,El Bosque,Alejandro Guzmán,Av. Padre Hurtado,5.24,
jam,El Bosque,Av. San Francisco,Sargento Daniel Rebolledo,12.95,
jam,San Bernardo,Calderón de la Barca,Diego de García,18.78,
jam,La Cisterna,Av. Padre Hurtado,Av. Padre Hurtado,7.69,
jam,San Bernardo,Av. Lo Blanco,América,4.01,
jam,El Bosque,Capitán Ávalos,Gran Avenida José Miguel Carrera,12.23,
jam,San Bernardo,Martín de Solís,Antonio de Azócar,2.92,
jam,San Ramón,Cruz del Sur,Juan Antonio Ríos,2.41,
jam,El Bosque,Av. Padre Hurtado,Central,6.32,
jam,El Bosque,Eleuterio Ramírez,Javiera Carrera,9.57,
jam,La Cisterna,Ernesto Riquelme,Av. Padre Hurtado,0,
jam,San Bernardo,Santa Marta,Gran Avenida José Miguel Carrera,5.31,
jam,El Bosque,Av. Padre Hurtado,Esperanza,3.34,
jam,El Bosque,Av. Sur,Pasaje Sur,11.47,
jam,El Bosque,Av. Lo Blanco,Gran Avenida José Miguel Carrera,4.15,
jam,El Bosque,Av. Padre Hurtado,Av. Observatorio,17.8,
jam,El Bosque,Gran Avenida José Miguel Carrera,Ernesto Riquelme,7.37,
jam,San Ramón,Av. Pedro Aguirre Cerda,Av. Américo Vespucio,3.83,
alert,El Bosque,Pasaje Alfalfal,,,HAZARD
alert,La Cisterna,Ernesto Riquelme,,,ROAD_CLOSED
alert,El Bosque,Av. Padre Hurtado,,,CHIT_CHAT
alert,San Bernardo,Av. Lo Blanco,,,POLICE
alert,,Autopista Central,,,HAZARD
alert,San Bernardo,Av. Lo Blanco,,,JAM
alert,El Bosque,Av. Padre Hurtado,,,POLICE
alert,El Bosque,Pasaje Los Traros,,,HAZARD
jam,Santiago,Nueva Centenario,Paso nivel acceso San Ignacio,15.96,
jam,Santiago,Bascuñán Guerrero,Av. Libertador Bernardo O'Higgins,6.75,
jam,Lo Prado,Av. Los Copihues,Av. Neptuno,17.67,
jam,Estación Central,Arica,Av. Padre Alberto Hurtado,13.97,
jam,Estación Central,Buzo Sobenes,Radal,4.97,
jam,Santiago,Unión Latinoamericana,Abate Molina,18.24,
jam,Santiago,Esperanza,,5.72,
jam,Estación Central,Quemchi,Aeropuerto,2.96,
jam,Pudahuel,Av. La Travesía,,11.46,
jam,Santiago,Exposición,Av. Almirante Blanco Encalada,22.33,
jam,Santiago,Libertad,Av. San Pablo,6.07,
jam,Lo Prado,Fresia,San Pablo lateral,2.96,
jam,Santiago,Salvador Sanfuentes,Unión Latinoamericana,0,
jam,Santiago,Av. Matucana,,18.15,
jam,Pudahuel,Av. Teniente Luis Cruz Martínez,Av. Claudio Arrau,3.58,
jam,Santiago,Sazié,Exposición,8.16,
jam,Lo Prado,Av. Teniente Luis Cruz Martínez,Av. San Pablo,3.57,
jam,Santiago,Gorbea,Abate Molina,6.54,
jam,Lo Prado,Morro de Arica,Eduardo Llanos,2.67,
jam,Estación Central,7 de Octubre,Av. Las Parcelas,4.98,
jam,Pudahuel,Av. General Óscar Bonilla,Av. General Óscar Bonilla,5.63,
jam,Cerrillos,Cardenal Raúl Silva Henríquez,Obispo Camilo Vial,3.64,
jam,Santiago,Av. Manuel Rodríguez,Acceso a Autopista Central > Norte,8.67,
jam,Lo Prado,Waldo Taff,Av. Neptuno,6.37,
jam,Estación Central,Av. Libertador Bernardo O'Higgins,Obispo Manuel Umaña,13.83,
jam,Estación Central,San Alberto Hurtado,Acceso a General Velázquez,11.42,
jam,Lo Prado,Av. General Óscar Bonilla,Av. General Óscar Bonilla,3.01,
jam,Quinta Normal,Sergio Valdovinos,Av. San Pablo,7.32,
jam,Maipú,Av. Pajaritos,Av. Américo Vespucio,8.41,
alert,Pudahuel,Av. Teniente Luis Cruz Martínez,,,JAM
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Esperanza,,,POLICE
alert,Santiago,Abate Molina,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
